artist,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
Des'ree,Kaylee,F,1,Summers,246.30812000000003,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1540340000000.0,139,You Gotta Be,200,1541110000000.0,8
Mr Oizo,Kaylee,F,3,Summers,144.03873000000002,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1540340000000.0,139,Flat 55,200,1541110000000.0,8
Tamba Trio,Kaylee,F,4,Summers,177.18812,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1540340000000.0,139,Quem Quiser Encontrar O Amor,200,1541110000000.0,8
The Mars Volta,Kaylee,F,5,Summers,380.42077,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1540340000000.0,139,Eriatarka,200,1541110000000.0,8
Infected Mushroom,Kaylee,F,6,Summers,440.2673,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1540340000000.0,139,Becoming Insane,200,1541110000000.0,8
Blue October / Imogen Heap,Kaylee,F,7,Summers,241.3971,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1540340000000.0,139,Congratulations,200,1541110000000.0,8
Girl Talk,Kaylee,F,8,Summers,160.15628,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1540340000000.0,139,Once again,200,1541110000000.0,8
Black Eyed Peas,Sylvie,F,0,Cruz,214.93506000000002,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540270000000.0,9,Pump It,200,1541110000000.0,10
Fall Out Boy,Ryan,M,1,Smith,200.72444,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,169,Nobody Puts Baby In The Corner,200,1541110000000.0,26
M.I.A.,Ryan,M,2,Smith,233.7171,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,169,Mango Pickle Down River (With The Wilcannia Mob),200,1541110000000.0,26
Survivor,Jayden,M,0,Fox,245.36771000000002,free,"New Orleans-Metairie, LA",PUT,NextSong,1541030000000.0,100,Eye Of The Tiger,200,1541110000000.0,101
N.E.R.D. FEATURING MALICE,Jayden,M,0,Fox,288.9922,free,"New Orleans-Metairie, LA",PUT,NextSong,1541030000000.0,184,Am I High (Feat. Malice),200,1541120000000.0,101
Death Cab for Cutie,Stefany,F,1,White,216.42404,free,"Lubbock, TX",PUT,NextSong,1540710000000.0,82,A Lack Of Color (Album Version),200,1541120000000.0,83
Tracy Gang Pussy,Stefany,F,2,White,221.33506,free,"Lubbock, TX",PUT,NextSong,1540710000000.0,82,I Have A Wish,200,1541120000000.0,83
Skillet,Kevin,M,0,Arellano,178.02403999999999,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,153,Monster (Album Version),200,1541130000000.0,66
Dance Gavin Dance,Marina,F,0,Sutton,218.46159,free,"Salinas, CA",PUT,NextSong,1541060000000.0,47,Uneasy Hearts Weigh The Most,200,1541130000000.0,48
Dalto,Aiden,M,1,Hess,190.40608,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540830000000.0,170,Falta Te Dizer,200,1541130000000.0,86
Kanye West,Makinley,F,0,Jones,278.88281,free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541090000000.0,118,Family Business,200,1541140000000.0,17
